video,fps,frame_count,duration_seconds,width,height,has_anomaly,anomaly_count,anomaly_intervals
1.mp4,30.0,26821,894.03,800,410,no,0,
2.mp4,30.0,26820,894.0,800,410,yes,1,587-894
3.mp4,30.0,26766,892.2,800,410,no,0,
4.mp4,30.0,26865,895.5,800,410,no,0,
5.mp4,30.0,26849,894.97,800,410,no,0,
6.mp4,30.0,26789,892.97,800,410,no,0,
7.mp4,30.0,26768,892.27,800,410,no,0,
8.mp4,30.0,26689,889.63,800,410,no,0,
9.mp4,30.0,26628,887.6,800,410,yes,1,0-287
10.mp4,30.0,26868,895.6,800,410,no,0,
11.mp4,30.0,26658,888.6,800,410,yes,1,0-888
12.mp4,30.0,26745,891.5,800,410,no,0,
13.mp4,30.0,26580,886.0,800,410,no,0,
14.mp4,30.0,26560,885.33,800,410,yes,1,475-600
15.mp4,30.0,26546,884.87,800,410,no,0,
16.mp4,30.0,26814,893.8,800,410,no,0,
17.mp4,30.0,26763,892.1,800,410,no,0,
18.mp4,30.0,26783,892.77,800,410,no,0,
19.mp4,30.0,26732,891.07,800,410,no,0,
20.mp4,30.0,26686,889.53,800,410,no,0,
21.mp4,30.0,26794,893.13,800,410,no,0,
22.mp4,30.0,26716,890.53,800,410,no,0,
23.mp4,30.0,26708,890.27,800,410,no,0,
24.mp4,30.0,26741,891.37,800,410,no,0,
25.mp4,30.0,26667,888.9,800,410,no,0,
26.mp4,30.0,26685,889.5,800,410,no,0,
27.mp4,30.0,26643,888.1,800,410,no,0,
28.mp4,30.0,26595,886.5,800,410,no,0,
29.mp4,30.0,26558,885.27,800,410,no,0,
30.mp4,30.0,26831,894.37,800,410,no,0,
31.mp4,30.0,26832,894.4,800,410,no,0,
32.mp4,30.0,26833,894.43,800,410,no,0,
33.mp4,30.0,26820,894.0,800,410,yes,2,0-90; 165-894
34.mp4,30.0,26880,896.0,800,410,no,0,
35.mp4,30.0,26646,888.2,800,410,yes,1,106-185
36.mp4,30.0,26728,890.93,800,410,no,0,
37.mp4,30.0,26791,893.03,800,410,no,0,
38.mp4,30.0,26644,888.13,800,410,no,0,
39.mp4,30.0,26670,889.0,800,410,no,0,
40.mp4,30.0,26782,892.73,800,410,no,0,
41.mp4,30.0,26691,889.7,800,410,no,0,
42.mp4,30.0,26640,888.0,800,410,no,0,
43.mp4,30.0,26791,893.03,800,410,no,0,
44.mp4,30.0,26646,888.2,800,410,no,0,
45.mp4,30.0,26688,889.6,800,410,no,0,
46.mp4,30.0,26857,895.23,800,410,no,0,
47.mp4,30.0,26675,889.17,800,410,no,0,
48.mp4,30.0,26839,894.63,800,410,no,0,
49.mp4,30.0,26820,894.0,800,410,yes,1,422-894
50.mp4,30.0,26697,889.9,800,410,no,0,
51.mp4,30.0,26739,891.3,800,410,yes,1,431-891
52.mp4,30.0,26730,891.0,800,410,no,0,
53.mp4,30.0,26739,891.3,800,410,no,0,
54.mp4,30.0,26659,888.63,800,410,no,0,
55.mp4,30.0,26820,894.0,800,410,no,0,
56.mp4,30.0,26744,891.47,800,410,no,0,
57.mp4,30.0,26827,894.23,800,410,no,0,
58.mp4,14.3,12752,892.04,800,410,no,0,
59.mp4,30.0,26834,894.47,800,410,no,0,
60.mp4,30.0,26811,893.7,800,410,no,0,
61.mp4,30.0,26653,888.43,800,410,no,0,
62.mp4,30.0,26487,882.9,800,410,no,0,
63.mp4,30.0,25613,853.77,800,410,yes,1,87-853
64.mp4,30.0,2256,75.2,800,410,no,0,
65.mp4,30.0,26718,890.6,800,410,no,0,
66.mp4,23.56,21017,891.98,800,410,no,0,
67.mp4,30.0,26769,892.3,800,410,no,0,
68.mp4,30.0,26762,892.07,800,410,no,0,
69.mp4,30.0,26728,890.93,800,410,no,0,
70.mp4,30.0,26595,886.5,800,410,no,0,
71.mp4,30.0,26803,893.43,800,410,no,0,
72.mp4,30.0,26820,894.0,800,410,yes,1,87-894
73.mp4,30.0,26820,894.0,800,410,yes,1,155-894
74.mp4,30.0,26820,894.0,800,410,yes,1,293-894
75.mp4,30.0,26704,890.13,800,410,no,0,
76.mp4,30.0,26768,892.27,800,410,no,0,
77.mp4,30.0,26643,888.1,800,410,no,0,
78.mp4,30.0,26773,892.43,800,410,no,0,
79.mp4,30.0,26738,891.27,800,410,no,0,
80.mp4,30.0,26850,895.0,800,410,no,0,
81.mp4,30.0,26839,894.63,800,410,no,0,
82.mp4,30.0,26733,891.1,800,410,no,0,
83.mp4,30.0,26787,892.9,800,410,yes,1,540-892
84.mp4,30.0,26752,891.73,800,410,no,0,
85.mp4,30.0,26839,894.63,800,410,no,0,
86.mp4,30.0,26790,893.0,800,410,no,0,
87.mp4,30.0,26656,888.53,800,410,no,0,
88.mp4,30.0,26802,893.4,800,410,no,0,
89.mp4,30.0,26811,893.7,800,410,no,0,
90.mp4,30.0,26696,889.87,800,410,no,0,
91.mp4,30.0,27010,900.33,800,410,yes,1,602-900
92.mp4,30.0,26668,888.93,800,410,no,0,
93.mp4,30.0,26770,892.33,800,410,yes,1,0-892
94.mp4,30.0,26823,894.1,800,410,no,0,
95.mp4,30.0,26820,894.0,800,410,yes,1,38-894
96.mp4,30.0,26842,894.73,800,410,no,0,
97.mp4,30.0,26719,890.63,800,410,yes,1,0-890
98.mp4,30.0,26821,894.03,800,410,no,0,
99.mp4,30.0,26826,894.2,800,410,no,0,
100.mp4,30.0,26773,892.43,800,410,no,0,
